Order ID,Order Date,Customer ID,Customer Name,Address Line 1,City,Country,Postcode,Loyalty Card,Product ID,Coffee Type,Roast Type,Quantity,Size,Unit Price,Price per 100g,Profit,Sales
ITA-87418-783,22-05-2020,39396-12890-PE,Terence Vanyutin,331 Bunting Hill,Migrate,United States,41905,No,R-D-2.5,Robust,Dark,2,2.5,20.585,0.8234,1.2351,41.17
GNZ-46006-527,05-04-2022,95875-73336-RG,Patrice Trobe,827 Declaration Plaza,Saint Louis,United States,63131,Yes,L-D-0.2,Liberica,Dark,3,0.2,3.885,1.9425,0.50505,11.655
FYQ-78248-319,07-06-2022,25473-43727-BY,Llywellyn Oscroft,022 Roth Place,Philadelphia,United States,19172,No,R-M-2.5,Robust,Medium,5,2.5,22.885,0.9154,1.3731,114.425
VAU-44387-624,20-03-2019,99643-51048-IQ,Minni Alabaster,3 Charing Cross Trail,Portland,United States,97271,No,A-M-0.2,Arabica,Medium,6,0.2,3.375,1.6875,0.30375,20.25
RDW-33155-159,19-10-2019,62173-15287-CU,Rhianon Broxup,83517 Thierer Court,Houston,United States,77240,No,A-L-1,Arabica,Light,6,1,12.95,1.295,1.1655,77.7
TDZ-59011-211,13-06-2019,57611-05522-ST,Pall Redford,7337 Hayes Junction,Caherconlish,Ireland,F45,Yes,R-D-2.5,Robust,Dark,4,2.5,20.585,0.8234,1.2351,82.34
IDU-25793-399,04-12-2020,76664-37050-DT,Aurea Corradino,698 Canary Terrace,New York City,United States,10060,Yes,A-M-0.2,Arabica,Medium,5,0.2,3.375,1.6875,0.30375,16.875
IDU-25793-399,04-12-2020,76664-37050-DT,Aurea Corradino,698 Canary Terrace,New York City,United States,10060,Yes,E-D-0.2,Excelsa,Dark,4,0.2,3.645,1.8225,0.40095,14.58
NUO-20013-488,04-12-2020,03090-88267-BQ,Avrit Davidowsky,9 Warrior Junction,Grand Rapids,United States,49560,No,A-D-0.2,Arabica,Dark,6,0.2,2.985,1.4925,0.26865,17.91
UQU-65630-479,22-01-2021,37651-47492-NC,Annabel Antuk,77965 Lawn Park,Punta Gorda,United States,33982,Yes,R-M-2.5,Robust,Medium,4,2.5,22.885,0.9154,1.3731,91.54
FEO-11834-332,11-02-2022,95399-57205-HI,Iorgo Kleinert,1 Morningstar Lane,Vancouver,United States,98682,Yes,A-D-0.2,Arabica,Dark,4,0.2,2.985,1.4925,0.26865,11.94
TKY-71558-096,15-09-2021,24010-66714-HW,Chrisy Blofeld,013 Talisman Terrace,Englewood,United States,80150,No,A-M-1,Arabica,Medium,1,1,11.25,1.125,1.0125,11.25
OXY-65322-253,24-10-2020,07591-92789-UA,Culley Farris,4 Mitchell Drive,Punta Gorda,United States,33982,Yes,E-M-0.2,Excelsa,Medium,3,0.2,4.125,2.0625,0.45375,12.375
EVP-43500-491,20-02-2019,49231-44455-IC,Selene Shales,74 Bultman Plaza,Petaluma,United States,94975,Yes,A-M-0.5,Arabica,Medium,4,0.5,6.75,1.35,0.6075,27
WAG-26945-689,08-10-2019,50124-88608-EO,Vivie Danneil,5626 Darwin Avenue,Tralee,Ireland,V92,No,A-M-0.2,Arabica,Medium,5,0.2,3.375,1.6875,0.30375,16.875
CHE-78995-767,02-08-2022,00888-74814-UZ,Theresita Newbury,79526 Bultman Lane,Clonskeagh,Ireland,D04,No,A-D-0.5,Arabica,Dark,3,0.5,5.97,1.194,0.5373,17.91
RYZ-14633-602,20-02-2019,14158-30713-OB,Mozelle Calcutt,4389 Russell Way,Rathwire,Ireland,Y25,Yes,A-D-1,Arabica,Dark,4,1,9.95,0.995,0.8955,39.8
WOQ-36015-429,25-09-2021,51427-89175-QJ,Adrian Swaine,95 Straubel Hill,Aurora,United States,80044,No,L-M-0.2,Liberica,Medium,5,0.2,4.365,2.1825,0.56745,21.825
WOQ-36015-429,25-09-2021,51427-89175-QJ,Adrian Swaine,95 Straubel Hill,Aurora,United States,80044,No,A-D-0.5,Arabica,Dark,6,0.5,5.97,1.194,0.5373,35.82
WOQ-36015-429,25-09-2021,51427-89175-QJ,Adrian Swaine,95 Straubel Hill,Aurora,United States,80044,No,L-M-0.5,Liberica,Medium,6,0.5,8.73,1.746,1.1349,52.38
SCT-60553-454,17-07-2021,39123-12846-YJ,Gallard Gatheral,40 Clemons Place,Grand Forks,United States,58207,No,L-L-0.2,Liberica,Light,5,0.2,4.755,2.3775,0.61815,23.775
GFK-52063-244,29-06-2020,44981-99666-XB,Una Welberry,40915 Schlimgen Park,Upton,United Kingdom,DN21,Yes,L-L-0.5,Liberica,Light,6,0.5,9.51,1.902,1.2363,57.06
AMM-79521-378,01-06-2021,24825-51803-CQ,Faber Eilhart,6966 Victoria Street,Charleston,United States,25362,No,A-D-0.5,Arabica,Dark,6,0.5,5.97,1.194,0.5373,35.82
QUQ-90580-772,06-02-2021,77634-13918-GJ,Zorina Ponting,7118 Holmberg Court,Little Rock,United States,72204,No,L-M-0.2,Liberica,Medium,2,0.2,4.365,2.1825,0.56745,8.73
LGD-24408-274,25-04-2019,13694-25001-LX,Silvio Strase,5 Forest Lane,Denver,United States,80291,No,L-L-0.5,Liberica,Light,3,0.5,9.51,1.902,1.2363,28.53
HCT-95608-959,25-04-2020,08523-01791-TI,Dorie de la Tremoille,0817 Dennis Street,Minneapolis,United States,55458,No,R-M-2.5,Robust,Medium,5,2.5,22.885,0.9154,1.3731,114.425
OFX-99147-470,24-11-2021,49860-68865-AB,Hy Zanetto,469 Paget Place,Tucson,United States,85715,Yes,R-M-1,Robust,Medium,6,1,9.95,0.995,0.597,59.7
LUO-37559-016,19-04-2021,21240-83132-SP,Jessica McNess,664 Erie Place,New Orleans,United States,70116,No,L-M-1,Liberica,Medium,3,1,14.55,1.455,1.8915,43.65
XWC-20610-167,07-07-2022,08350-81623-TF,Lorenzo Yeoland,8510 Merrick Road,Hartford,United States,6183,Yes,E-D-0.2,Excelsa,Dark,2,0.2,3.645,1.8225,0.40095,7.29
GPU-79113-136,22-05-2019,73284-01385-SJ,Abigail Tolworthy,74 Shopko Way,Ogden,United States,84409,Yes,R-D-0.2,Robust,Dark,3,0.2,2.685,1.3425,0.1611,8.055
ULR-52653-960,04-10-2021,04152-34436-IE,Maurie Bartol,7625 Starling Court,Boston,United States,2216,No,L-L-2.5,Liberica,Light,2,2.5,36.455,1.4582,4.73915,72.91
HPI-42308-142,11-04-2020,06631-86965-XP,Olag Baudassi,55 Dottie Court,Rochester,United States,14604,Yes,E-M-0.5,Excelsa,Medium,2,0.5,8.25,1.65,0.9075,16.5
XHI-30227-581,31-01-2022,54619-08558-ZU,Petey Kingsbury,28 Loftsgordon Place,Bronx,United States,10469,No,L-D-2.5,Liberica,Dark,6,2.5,29.785,1.1914,3.87205,178.71
DJH-05202-380,07-11-2019,85589-17020-CX,Donna Baskeyfied,7586 Logan Avenue,Birmingham,United States,35205,Yes,E-M-2.5,Excelsa,Medium,2,2.5,31.625,1.265,3.47875,63.25
VMW-26889-781,28-06-2019,36078-91009-WU,Arda Curley,45098 Scott Drive,San Bernardino,United States,92415,Yes,A-L-0.2,Arabica,Light,2,0.2,3.885,1.9425,0.34965,7.77
DBU-81099-586,11-09-2020,15770-27099-GX,Raynor McGilvary,496 Rockefeller Court,Norfolk,United States,23514,No,A-D-2.5,Arabica,Dark,4,2.5,22.885,0.9154,2.05965,91.54
PQA-54820-810,17-08-2022,91460-04823-BX,Isis Pikett,5892 Hauk Drive,Washington,United States,20409,No,A-L-1,Arabica,Light,3,1,12.95,1.295,1.1655,38.85
XKB-41924-202,19-08-2022,45089-52817-WN,Inger Bouldon,925 Barby Circle,Fort Lauderdale,United States,33355,No,L-D-0.5,Liberica,Dark,2,0.5,7.77,1.554,1.0101,15.54
DWZ-69106-473,15-05-2019,76447-50326-IC,Karry Flanders,88 Blue Bill Park Avenue,Crumlin,Ireland,D6W,Yes,L-L-2.5,Liberica,Light,4,2.5,36.455,1.4582,4.73915,145.82
YHV-68700-050,11-09-2019,26333-67911-OL,Hartley Mattioli,126 Valley Edge Street,Kinloch,United Kingdom,PH43,No,R-M-0.5,Robust,Medium,5,0.5,5.97,1.194,0.3582,29.85
YHV-68700-050,11-09-2019,26333-67911-OL,Hartley Mattioli,126 Valley Edge Street,Kinloch,United Kingdom,PH43,No,L-L-2.5,Liberica,Light,2,2.5,36.455,1.4582,4.73915,72.91
KRB-88066-642,16-03-2021,22107-86640-SB,Archambault Gillard,97490 Susan Avenue,Toledo,United States,43666,No,L-M-1,Liberica,Medium,5,1,14.55,1.455,1.8915,72.75
LQU-08404-173,03-12-2020,09960-34242-LZ,Salomo Cushworth,44 Oneill Parkway,Trenton,United States,8650,No,L-L-1,Liberica,Light,3,1,15.85,1.585,2.0605,47.55
CWK-60159-881,27-01-2020,04671-85591-RT,Theda Grizard,6 Knutson Pass,Tampa,United States,33686,Yes,E-D-0.2,Excelsa,Dark,3,0.2,3.645,1.8225,0.40095,10.935
EEG-74197-843,17-07-2022,25729-68859-UA,Rozele Relton,2484 Reindahl Court,Pensacola,United States,32590,No,E-L-1,Excelsa,Light,4,1,14.85,1.485,1.6335,59.4
UCZ-59708-525,04-03-2022,05501-86351-NX,Willa Rolling,3 Mockingbird Plaza,Zephyrhills,United States,33543,Yes,L-D-2.5,Liberica,Dark,3,2.5,29.785,1.1914,3.87205,89.355
HUB-47311-849,07-12-2021,04521-04300-OK,Stanislaus Gilroy,9120 Harbort Terrace,Saint Paul,United States,55123,Yes,L-M-0.5,Liberica,Medium,3,0.5,8.73,1.746,1.1349,26.19
WYM-17686-694,25-02-2021,58689-55264-VK,Correy Cottingham,394 Logan Road,Fort Wayne,United States,46862,No,A-D-2.5,Arabica,Dark,5,2.5,22.885,0.9154,2.05965,114.425
ZYQ-15797-695,25-02-2019,79436-73011-MM,Pammi Endacott,5841 Atwood Lane,Wootton,United Kingdom,NN4,Yes,R-D-0.5,Robust,Dark,5,0.5,5.37,1.074,0.3222,26.85
EEJ-16185-108,09-02-2019,65552-60476-KY,Nona Linklater,856 Bonner Parkway,Naples,United States,34114,Yes,L-L-0.2,Liberica,Light,5,0.2,4.755,2.3775,0.61815,23.775
RWR-77888-800,07-02-2020,69904-02729-YS,Annadiane Dykes,31 Northport Terrace,Chicago,United States,60681,No,A-M-0.5,Arabica,Medium,1,0.5,6.75,1.35,0.6075,6.75
LHN-75209-742,23-03-2020,01433-04270-AX,Felecia Dodgson,48053 8th Crossing,Newark,United States,7104,Yes,R-M-0.5,Robust,Medium,6,0.5,5.97,1.194,0.3582,35.82
TIR-71396-998,06-03-2022,14204-14186-LA,Angelia Cockrem,1 Sherman Alley,Vienna,United States,22184,Yes,R-D-2.5,Robust,Dark,4,2.5,20.585,0.8234,1.2351,82.34
RXF-37618-213,15-04-2022,32948-34398-HC,Belvia Umpleby,710 Prairie Rose Terrace,Fort Worth,United States,76178,Yes,R-L-0.5,Robust,Light,1,0.5,7.17,1.434,0.4302,7.17
ANM-16388-634,19-11-2021,77343-52608-FF,Nat Saleway,0780 Anthes Plaza,Burbank,United States,91505,No,L-L-0.2,Liberica,Light,2,0.2,4.755,2.3775,0.61815,9.51
WYL-29300-070,16-10-2019,42770-36274-QA,Hayward Goulter,2081 Mariners Cove Drive,Kingsport,United States,37665,No,R-M-0.2,Robust,Medium,1,0.2,2.985,1.4925,0.1791,2.985
JHW-74554-805,26-11-2019,14103-58987-ZU,Gay Rizzello,21 Schmedeman Crossing,Liverpool,United Kingdom,L33,Yes,R-M-1,Robust,Medium,6,1,9.95,0.995,0.597,59.7
KYS-27063-603,30-06-2019,69958-32065-SW,Shannon List,7123 Algoma Center,Columbus,United States,43231,No,E-L-2.5,Excelsa,Light,4,2.5,34.155,1.3662,3.75705,136.62
GAZ-58626-277,04-01-2021,69533-84907-FA,Shirlene Edmondson,4752 International Point,Newmarket on Fergus,Ireland,P17,No,L-L-0.2,Liberica,Light,2,0.2,4.755,2.3775,0.61815,9.51
RPJ-37787-335,27-10-2020,76005-95461-CI,Aurlie McCarl,731 David Park,New Orleans,United States,70183,No,A-M-2.5,Arabica,Medium,3,2.5,25.875,1.035,2.32875,77.625
LEF-83057-763,15-06-2021,15395-90855-VB,Alikee Carryer,247 Helena Drive,Charlotte,United States,28230,Yes,L-M-0.2,Liberica,Medium,5,0.2,4.365,2.1825,0.56745,21.825
RPW-36123-215,19-07-2021,80640-45811-LB,Jennifer Rangall,0 Grasskamp Lane,Springfield,United States,1114,Yes,E-L-0.5,Excelsa,Light,2,0.5,8.91,1.782,0.9801,17.82
WLL-59044-117,23-07-2021,28476-04082-GR,Kipper Boorn,9513 Meadow Ridge Parkway,Listowel,Ireland,V31,Yes,R-D-1,Robust,Dark,6,1,8.95,0.895,0.537,53.7
AWT-22827-563,25-01-2020,12018-75670-EU,Melania Beadle,4418 Quincy Terrace,Moycullen,Ireland,A41,Yes,R-L-0.2,Robust,Light,1,0.2,3.585,1.7925,0.2151,3.585
QLM-07145-668,09-05-2019,86437-17399-FK,Colene Elgey,45 Marcy Crossing,Midland,United States,79705,No,E-D-0.2,Excelsa,Dark,2,0.2,3.645,1.8225,0.40095,7.29
HVQ-64398-930,30-03-2020,62979-53167-ML,Lothaire Mizzi,74 Atwood Lane,Dallas,United States,75323,Yes,A-M-0.5,Arabica,Medium,6,0.5,6.75,1.35,0.6075,40.5
WRT-40778-247,13-03-2022,54810-81899-HL,Cletis Giacomazzo,817 Ridgeway Hill,Dulles,United States,20189,No,R-L-1,Robust,Light,4,1,11.95,1.195,0.717,47.8
SUB-13006-125,17-04-2019,26103-41504-IB,Ami Arnow,12 Oakridge Court,Oakland,United States,94627,Yes,A-L-0.5,Arabica,Light,5,0.5,7.77,1.554,0.6993,38.85
CQM-49696-263,25-10-2019,76534-45229-SG,Sheppard Yann,4 Farmco Place,Colorado Springs,United States,80930,Yes,L-L-2.5,Liberica,Light,3,2.5,36.455,1.4582,4.73915,109.365
KXN-85094-246,13-09-2019,81744-27332-RR,Bunny Naulls,595 Melby Avenue,Adare,Ireland,H54,Yes,L-M-2.5,Liberica,Medium,3,2.5,33.465,1.3386,4.35045,100.395
XOQ-12405-419,12-04-2020,91513-75657-PH,Hally Lorait,80 Jana Avenue,Buffalo,United States,14205,Yes,R-D-2.5,Robust,Dark,4,2.5,20.585,0.8234,1.2351,82.34
HYF-10254-369,14-11-2019,30373-66619-CB,Zaccaria Sherewood,1325 Jay Terrace,Fresno,United States,93715,No,L-L-0.5,Liberica,Light,1,0.5,9.51,1.902,1.2363,9.51
XXJ-47000-307,18-07-2019,31582-23562-FM,Jeffrey Dufaire,8 Buell Junction,Fort Worth,United States,76121,No,A-L-2.5,Arabica,Light,3,2.5,29.785,1.1914,2.68065,89.355
XXJ-47000-307,18-07-2019,31582-23562-FM,Jeffrey Dufaire,8 Buell Junction,Fort Worth,United States,76121,No,A-D-0.2,Arabica,Dark,4,0.2,2.985,1.4925,0.26865,11.94
ZFS-30776-804,05-02-2021,58638-01029-CB,Blancha McAmish,5484 Stephen Court,Oklahoma City,United States,73179,Yes,A-L-0.5,Arabica,Light,5,0.5,7.77,1.554,0.6993,38.85
ZDK-82166-357,03-04-2021,81431-12577-VD,Beitris Keaveney,67319 Redwing Parkway,Beaumont,United States,77705,No,A-M-1,Arabica,Medium,3,1,11.25,1.125,1.0125,33.75
IHN-19982-362,29-03-2021,68894-91205-MP,Elna Grise,92 Becker Circle,Reno,United States,89519,No,R-L-1,Robust,Light,3,1,11.95,1.195,0.717,35.85
VMT-10030-889,15-12-2021,87602-55754-VN,Torie Gottelier,426 Division Avenue,Kansas City,United States,64136,No,A-L-1,Arabica,Light,6,1,12.95,1.295,1.1655,77.7
NHL-11063-100,20-05-2020,39181-35745-WH,Loydie Langlais,290 Ilene Street,Crumlin,Ireland,D6W,Yes,A-L-1,Arabica,Light,4,1,12.95,1.295,1.1655,51.8
ROV-87448-086,02-11-2020,30381-64762-NG,Adham Greenhead,0062 Spenser Place,Corona,United States,92878,No,A-M-2.5,Arabica,Medium,4,2.5,25.875,1.035,2.32875,103.5
DGY-35773-612,25-07-2020,17503-27693-ZH,Hamish MacSherry,7 Brentwood Plaza,Austin,United States,78759,Yes,E-L-1,Excelsa,Light,3,1,14.85,1.485,1.6335,44.55
YWH-50638-556,14-03-2019,89442-35633-HJ,Else Langcaster,3658 Jenna Street,Normanton,United Kingdom,LE15,Yes,E-L-0.5,Excelsa,Light,4,0.5,8.91,1.782,0.9801,35.64
ISL-11200-600,02-07-2020,13654-85265-IL,Rudy Farquharson,30178 Claremont Road,Charlesland,Ireland,A63,Yes,A-D-0.2,Arabica,Dark,6,0.2,2.985,1.4925,0.26865,17.91
LBZ-75997-047,17-12-2019,40946-22090-FP,Norene Magauran,567 Artisan Place,Fresno,United States,93762,No,A-M-2.5,Arabica,Medium,6,2.5,25.875,1.035,2.32875,155.25
EUH-08089-954,06-12-2020,29050-93691-TS,Vicki Kirdsch,0263 Golf Street,Saint Louis,United States,63150,No,A-D-0.2,Arabica,Dark,2,0.2,2.985,1.4925,0.26865,5.97
BLD-12227-251,04-03-2021,64395-74865-WF,Ilysa Whapple,41598 Everett Drive,Fresno,United States,93726,No,A-M-0.5,Arabica,Medium,2,0.5,6.75,1.35,0.6075,13.5
OPY-30711-853,17-07-2021,81861-66046-SU,Ruy Cancellieri,251 Welch Parkway,Confey,Ireland,A86,No,A-D-0.2,Arabica,Dark,1,0.2,2.985,1.4925,0.26865,2.985
DBC-44122-300,04-11-2020,13366-78506-KP,Aube Follett,8671 David Park,Columbus,United States,43210,Yes,L-M-0.2,Liberica,Medium,3,0.2,4.365,2.1825,0.56745,13.095
FJQ-60035-234,05-04-2021,08847-29858-HN,Rudiger Di Bartolomeo,7700 Melby Park,Stockton,United States,95205,Yes,A-L-0.2,Arabica,Light,2,0.2,3.885,1.9425,0.34965,7.77
HSF-66926-425,01-03-2020,00539-42510-RY,Nickey Youles,12461 Dryden Pass,Edgeworthstown,Ireland,E25,Yes,L-D-2.5,Liberica,Dark,5,2.5,29.785,1.1914,3.87205,148.925
LQG-41416-375,19-10-2021,45190-08727-NV,Dyanna Aizikovitz,7 Northland Court,Leixlip,Ireland,A86,Yes,L-D-1,Liberica,Dark,3,1,12.95,1.295,1.6835,38.85
VZO-97265-841,08-07-2022,87049-37901-FU,Bram Revel,6168 Westend Plaza,Rochester,United States,14652,No,R-M-0.2,Robust,Medium,4,0.2,2.985,1.4925,0.1791,11.94
MOR-12987-399,17-08-2019,34015-31593-JC,Emiline Priddis,62 Amoth Terrace,Tuscaloosa,United States,35487,No,L-M-1,Liberica,Medium,6,1,14.55,1.455,1.8915,87.3
UOA-23786-489,31-05-2020,90305-50099-SV,Queenie Veel,378 Shopko Center,Houston,United States,77260,Yes,A-M-0.5,Arabica,Medium,6,0.5,6.75,1.35,0.6075,40.5
AJL-52941-018,05-05-2020,55871-61935-MF,Lind Conyers,778 Summer Ridge Junction,El Paso,United States,88514,No,E-D-1,Excelsa,Dark,2,1,12.15,1.215,1.3365,24.3
XSZ-84273-421,14-04-2019,15405-60469-TM,Pen Wye,7 Dorton Terrace,Colorado Springs,United States,80935,Yes,R-M-0.5,Robust,Medium,3,0.5,5.97,1.194,0.3582,17.91
NUN-48214-216,29-07-2020,06953-94794-FB,Isahella Hagland,07 Roxbury Street,Fort Wayne,United States,46862,No,A-M-0.5,Arabica,Medium,4,0.5,6.75,1.35,0.6075,27
AKV-93064-769,12-12-2019,22305-40299-CY,Terry Sheryn,58147 Eagle Crest Court,Port Washington,United States,11054,Yes,L-D-0.5,Liberica,Dark,1,0.5,7.77,1.554,1.0101,7.77
BRB-40903-533,15-06-2022,09020-56774-GU,Marie-jeanne Redgrave,61022 Helena Street,Springfield,United States,1105,Yes,E-L-0.2,Excelsa,Light,3,0.2,4.455,2.2275,0.49005,13.365
GPR-19973-483,26-06-2019,92926-08470-YS,Betty Fominov,305 Tennyson Court,Pensacola,United States,32575,No,R-D-0.5,Robust,Dark,5,0.5,5.37,1.074,0.3222,26.85
XIY-43041-882,12-10-2021,07250-63194-JO,Shawnee Critchlow,6886 Oxford Hill,Richmond,United States,23242,No,A-M-1,Arabica,Medium,1,1,11.25,1.125,1.0125,11.25
YGY-98425-969,01-04-2019,63787-96257-TQ,Merrel Steptow,368 Ridgeview Trail,Cherryville,Ireland,P31,No,L-M-1,Liberica,Medium,1,1,14.55,1.455,1.8915,14.55
MSB-08397-648,10-03-2021,49530-25460-RW,Carmina Hubbuck,39749 Bobwhite Plaza,Huntington,United States,25705,No,R-L-0.2,Robust,Light,4,0.2,3.585,1.7925,0.2151,14.34
WDR-06028-345,16-08-2019,66508-21373-OQ,Ingeberg Mulliner,61 Oak Valley Trail,Birmingham,United Kingdom,B40,No,L-L-1,Liberica,Light,1,1,15.85,1.585,2.0605,15.85
MXM-42948-061,11-08-2020,20203-03950-FY,Geneva Standley,4 Thompson Drive,Killorglin,Ireland,H14,Yes,L-L-0.2,Liberica,Light,4,0.2,4.755,2.3775,0.61815,19.02
MGQ-98961-173,05-04-2022,83895-90735-XH,Brook Drage,3584 7th Parkway,Dayton,United States,45432,No,L-L-0.5,Liberica,Light,4,0.5,9.51,1.902,1.2363,38.04
RFH-64349-897,22-10-2019,61954-61462-RJ,Muffin Yallop,1 Beilfuss Junction,Anchorage,United States,99507,Yes,E-D-0.5,Excelsa,Dark,3,0.5,7.29,1.458,0.8019,21.87
TKL-20738-660,02-10-2021,47939-53158-LS,Cordi Switsur,57942 North Point,Nashville,United States,37215,No,E-M-0.2,Excelsa,Medium,1,0.2,4.125,2.0625,0.45375,4.125
TKL-20738-660,02-10-2021,47939-53158-LS,Cordi Switsur,57942 North Point,Nashville,United States,37215,No,A-L-0.2,Arabica,Light,1,0.2,3.885,1.9425,0.34965,3.885
TKL-20738-660,02-10-2021,47939-53158-LS,Cordi Switsur,57942 North Point,Nashville,United States,37215,No,E-M-1,Excelsa,Medium,5,1,13.75,1.375,1.5125,68.75
GOW-03198-575,13-03-2021,61513-27752-FA,Mahala Ludwell,6 Bay Center,Denver,United States,80217,Yes,A-D-0.5,Arabica,Dark,4,0.5,5.97,1.194,0.5373,23.88
QJB-90477-635,12-06-2022,89714-19856-WX,Doll Beauchamp,0967 Clemons Alley,Stamford,United States,6912,No,L-L-2.5,Liberica,Light,4,2.5,36.455,1.4582,4.73915,145.82
MWP-46239-785,27-04-2019,87979-56781-YV,Stanford Rodliff,3 Lerdahl Parkway,Newport News,United States,23605,Yes,L-M-0.2,Liberica,Medium,5,0.2,4.365,2.1825,0.56745,21.825
QDV-03406-248,23-05-2019,74126-88836-KA,Stevana Woodham,7 Rowland Plaza,Drumcondra,Ireland,D11,Yes,L-M-0.5,Liberica,Medium,3,0.5,8.73,1.746,1.1349,26.19
GPH-40635-105,14-07-2020,37397-05992-VO,Hewet Synnot,9667 Lunder Court,Anchorage,United States,99599,No,A-M-1,Arabica,Medium,1,1,11.25,1.125,1.0125,11.25
JOM-80930-071,10-11-2021,54904-18397-UD,Raleigh Lepere,27 Mosinee Court,Beaumont,Ireland,D17,No,L-D-1,Liberica,Dark,6,1,12.95,1.295,1.6835,77.7
OIL-26493-755,31-08-2021,19017-95853-EK,Timofei Woofinden,1 Pennsylvania Center,Fargo,United States,58122,No,A-M-0.5,Arabica,Medium,1,0.5,6.75,1.35,0.6075,6.75
CYV-13426-645,06-07-2019,88593-59934-VU,Evelina Dacca,83150 Dixon Park,Evansville,United States,47737,Yes,E-D-1,Excelsa,Dark,1,1,12.15,1.215,1.3365,12.15
WRP-39846-614,04-03-2022,47493-68564-YM,Bidget Tremellier,5 Sunfield Parkway,Cherryville,Ireland,P31,Yes,A-L-2.5,Arabica,Light,5,2.5,29.785,1.1914,2.68065,148.925
VDZ-76673-968,31-12-2020,82246-82543-DW,Bobinette Hindsberg,7 Brickson Park Road,Charlotte,United States,28210,Yes,E-D-0.5,Excelsa,Dark,2,0.5,7.29,1.458,0.8019,14.58
VTV-03546-175,31-07-2020,03384-62101-IY,Osbert Robins,42557 Fallview Plaza,Huntsville,United States,35815,Yes,A-L-2.5,Arabica,Light,5,2.5,29.785,1.1914,2.68065,148.925
GHR-72274-715,24-05-2021,86881-41559-OR,Othello Syseland,957 Sachtjen Road,Santa Ana,United States,92725,No,L-D-1,Liberica,Dark,1,1,12.95,1.295,1.6835,12.95
ZGK-97262-313,16-07-2022,02536-18494-AQ,Ewell Hanby,903 Oak Center,Washington,United States,20520,Yes,E-M-2.5,Excelsa,Medium,3,2.5,31.625,1.265,3.47875,94.875
QUU-91729-492,29-07-2021,90312-11148-LA,Lowell Keenleyside,6 Hauk Junction,Saint Louis,United States,63131,No,A-D-0.2,Arabica,Dark,4,0.2,2.985,1.4925,0.26865,11.94
PVI-72795-960,17-03-2022,68239-74809-TF,Elonore Joliffe,7077 School Crossing,Bailieborough,Ireland,C15,No,E-L-2.5,Excelsa,Light,3,2.5,34.155,1.3662,3.75705,102.465
